en_cue,en_target
leave,abandon
spinal,abdominal
kidnap,abduct
capacity,ability
out,about
presence,absence
ridiculous,absurd
voice,accent
refuse,accept
incident,accident
escort,accompany
complaint,accusation
gesture,act
trigger,activate
active,activity
author,actor
extra,additional
number,address
management,administrative
hormone,adrenaline
advice,advise
firm,agency
contract,agreement
terminal,airport
alert,alarm
motive,alibi
ufo,alien
corner,alley
bravo,alpha
impressive,amazing
africa,america
sum,amount
autopsy,analysis
jealous,angry
beast,animal
bee,ant
house,apartment
admire,appreciate
permission,approval
engineer,architect
hand,arm
shield,armor
arsenal,armory
legion,army
round,around
punish,arrest
ignorance,arrogance
vein,artery
natural,artificial
cavalry,artillery
question,ask
mercenary,assassin
help,assist
support,assistance
secretary,assistant
conclusion,assumption
pacific,atlantic
environment,atmosphere
invasion,attack
victim,attacker
try,attempt
opinion,attitude
attention,attract
crowd,audience
jurisdiction,authority
spring,autumn
toast,bacon
good,bad
box,bag
trap,bait
orchestra,band
club,bar
stadium,baseball
shower,bathroom
superman,batman
regiment,battalion
war,battle
arena,battlefield
hair,beard
pretty,beautiful
charm,beauty
sofa,bed
room,bedroom
drink,beer
trust,believe
million,billion
chemical,biological
chemistry,biology
butterfly,bird
anniversary,birthday
white,black
bribe,blackmail
brown,blue
submarine,boat
bible,book
manager,boss
washington,boston
glass,bottle
top,bottom
girl,boy
noble,brave
smash,break
dinner,breakfast
groom,bride
shine,bright
dude,bro
sister,brother
scratch,bruise
construction,build
tower,building
caliber,bullet
dig,bury
train,bus
industry,business
ass,butt
honey,butter
seller,buyer
hello,bye
dessert,cake
count,calculate
quiet,calm
picnic,camping
tumor,cancer
lamp,candle
glasses,cap
anarchy,capitalism
commander,captain
vehicle,car
bishop,cardinal
load,cargo
floor,carpet
mafia,cartel
palace,castle
dog,cat
grab,catch
reason,cause
grave,cemetery
mile,centimeter
brain,cerebral
ritual,ceremony
table,chair
obstacle,challenge
wine,champagne
competition,championship
church,chapel
attractive,charming
follow,chase
expensive,cheap
lip,cheek
bread,cheese
cook,chef
stomach,chest
swallow,chew
baby,child
youth,childhood
sugar,chocolate
catholic,christian
smoke,cigar
tobacco,cigarette
zoo,circus
capital,city
culture,civilization
typical,classic
patient,client
hospital,clinic
open,close
locked,closed
cabinet,closet
opening,closure
beach,coast
cup,coffee
rum,cognac
hot,cold
fall,collapse
general,colonel
arrive,come
drama,comedy
inspector,commissioner
commission,committee
navigation,communication
racist,communist
society,community
patience,compassion
total,complete
absolutely,completely
software,computer
focus,concentrate
tour,concert
admit,confess
respect,confidence
confirmation,confirm
chaos,confusion
contact,connection
always,constantly
law,constitution
contain,content
proceed,continue
opposite,contrary
orphanage,convent
warm,cool
original,copy
company,corporation
body,corpse
wrong,correct
silk,cotton
baron,countess
relative,cousin
rodeo,cowboy
paranoid,crazy
imagination,creativity
monster,creature
scary,creepy
sin,crime
thief,criminal
situation,crisis
brutal,cruel
evil,cruelty
tear,cut
sweet,cute
naive,cynical
uncle,dad
dancer,dance
risk,danger
risky,dangerous
shadow,dark
sunset,dawn
alive,dead
blind,deaf
century,decade
november,december
cabin,deck
victory,defeat
protect,defend
concept,definition
tasty,delicious
freedom,democracy
protest,demonstration
arrival,departure
stress,depression
profile,description
fate,destiny
creation,destruction
agent,detective
courage,determination
progress,development
chip,device
angel,devil
fidelity,devotion
suffer,die
similar,different
pride,dignity
ping,ding
direct,directly
producer,director
death,disappearance
surprise,disappointment
conversation,discussion
flu,disease
dirty,disgusting
resignation,dismissal
conflict,dispute
county,district
interrupt,disturb
god,divine
unit,division
make,do
surgeon,doctor
file,document
pound,dollar
charity,donation
window,door
paint,draw
nightmare,dream
skirt,dress
