English,translation,back_translation
(Block ${PAGE_INDEX + 1} of ${TOTAL_TASK_PAGES}),(Блок ${PAGE_INDEX + 1} з ${TOTAL_TASK_PAGES}),(This is a block of ${PAGE_INDEX+1} from ${TOTAL_TASK_PAGES})
A copy of this information to keep for your records will be provided upon request.,"Копія цієї інформації, яку ви повинні зберігати для своїх записів, буде надана на запит.","A copy of this information, which you must keep for your records, will be provided upon request."
Age,Вік,Age of the child
Age of Acquisition Study,Дослідження віку придбання,Age of acquisition research
Age ratings,Вікові рейтинги,Age ratings by age group
"Always think of how concrete (experience based) the meaning of the word is to you. In all likelihood, you will encounter several words you do not know well enough to give a useful rating. This is informative to us too, as in our research we only want to use words known to people. We may also include one or two fake words which cannot be known by you. If you do not know the word, please select the letter X for unknown.","Завжди думайте про те, наскільки конкретним (на основі досвіду) є для вас значення слова; швидше за все, ви зіткнетеся з кількома словами, яких не знаєте достатньо добре, щоб дати корисний рейтинг; це також є інформативним для нас, оскільки в нашому дослідженні ми хочемо використовувати тільки слова, відомі людям; ми також можемо включити одне або два фальшиві слова, які не можуть бути відомі вам.","Always think about how specific (based on experience) the meaning of a word is for you; you'll probably encounter a few words you don't know well enough to give a useful rating; it's also informative for us, since in our research we want to use only words known to people; we can also include one or two fake words that may not be known to you."
Are you primarily left- or right-handed?,Ви переважно ліворукий чи праворукий?,Are you predominantly left-handed or right-handed?
Arousal ratings,Рейтинги збудження,The excitement ratings
Arousal Study,Дослідження збудження,Studies of arousal
Associate's degree or two-year degree,Ступінь доцента або дворічний ступінь,Associate degree or two-year degree
"At one extreme of this scale you would feel completely relaxed, calm, sluggish, dull, sleepy, or unaroused. Indicate feeling calm by selecting the 1 on the left.  Now look at the other end of the calm-excited scale, which is the completely opposite feeling. You would feel stimulated, excited, frenzied, jittery, wide-awake, or aroused. When you feel completely aroused, select the 9 on the right. The figures also allow you to describe intermediate feelings of calmness or excitedness by selecting any other number. If you are not excited nor at all calm, select the 4 in the middle.","""На одній крайній точці цієї шкали ви відчуєте себе цілком розслабленим, спокійним, млявим, тупим, сонним або неспокійним, а на іншій - спокійним, що означає """"захищений"""" або """"захищений"""" - спокійним, що означає """"захищений,"""" що означає """"захищений,"""" що означає """"захищений,"""" що означає """"захищений.""""""","At one end of the scale, you'll feel relaxed, calm, relaxed, and at the other end, you'll feel relaxed, relaxed, relaxed, relaxed."
Bachelor's degree or four-year degree,Бакалавр або чотирирічний ступінь,Bachelor's or four-year degree
Back,Ззаду,In the back.
Background Information:,Попередня інформація:,Forward information:
