target_word_unique,word_combo_related,cue_word_related,word_combo_unrelated,cue_word_unrelated
абсурдний,смішнийабсурдний,смішний,мінабсурдний,мін
аварія,інцидентаварія,інцидент,конвертаварія,конверт
автобус,потягавтобус,потяг,онукавтобус,онук
агентство,фірмаагентство,фірма,ескортагентство,ескорт
адміністративний,менеджментадміністративний,менеджмент,постріладміністративний,постріл
адреналін,гормонадреналін,гормон,благороднийадреналін,благородний
адреса,числоадреса,число,страшнийадреса,страшний
аеропорт,терміналаеропорт,термінал,останнійаеропорт,останній
акт,жестакт,жест,дорогаакт,дорога
активувати,тригерактивувати,тригер,чоловікактивувати,чоловік
актор,авторактор,автор,чіткоактор,чітко
акцент,голосакцент,голос,кавалеріяакцент,кавалерія
алея,куталея,кут,позитивнийалея,позитивний
алібі,мотивалібі,мотив,венаалібі,вена
альфа,бравоальфа,браво,літнійальфа,літній
америка,африкаамерика,африка,кілограмамерика,кілограм
аналіз,аутопсіяаналіз,аутопсія,окоаналіз,око
арешт,каратиарешт,карати,капсулаарешт,капсула
армія,легіонармія,легіон,тостармія,тост
артерія,венаартерія,вена,молодьартерія,молодь
артилерія,кавалеріяартилерія,кавалерія,замкненийартилерія,замкнений
архітектор,інженерархітектор,інженер,дріматиархітектор,дрімати
атакувати,вторгненняатакувати,вторгнення,роботатакувати,робот
атлантичний,тихоокеанськийатлантичний,тихоокеанський,повагаатлантичний,повага
атмосфера,середовищеатмосфера,середовище,тихоокеанськийатмосфера,тихоокеанський
аудиторія,натовпаудиторія,натовп,полюванняаудиторія,полювання
бабуся,дідусьбабуся,дідусь,компасбабуся,компас
бавовна,шовкбавовна,шовк,спокійнобавовна,спокійно
багатий,біднийбагатий,бідний,детонаторбагатий,детонатор
багатство,скарбницябагатство,скарбниця,калібрбагатство,калібр
бажання,тугабажання,туга,орендарбажання,орендар
бар,клуббар,клуб,дотепністьбар,дотепність
батальйон,полкбатальйон,полк,танцівницябатальйон,танцівниця
родитель,дорослийродитель,дорослий,вражаючийродитель,вражаючий
батько,мамабатько,мама,райбатько,рай
бачення,одкровеннябачення,одкровення,чоловічийбачення,чоловічий
безвідповідальний,нерозумнийбезвідповідальний,нерозумний,рігбезвідповідальний,ріг
безпека,гарантіябезпека,гарантія,назвабезпека,назва
безпечний,сейфбезпечний,сейф,голкабезпечний,голка
безпосередньо,прямийбезпосередньо,прямий,захоплюючийбезпосередньо,захоплюючий
безсилий,безпораднийбезсилий,безпорадний,може бутибезсилий,може бути
бейсбол,стадіонбейсбол,стадіон,баронбейсбол,барон
бекон,тостбекон,тост,ворогбекон,ворог
бетмен,суперменбетмен,супермен,м'якийбетмен,м'який
битва,війнабитва,війна,марнийбитва,марний
бізнес,галузьбізнес,галузь,богбізнес,бог
біль,стражданнябіль,страждання,незаконнийбіль,незаконний
біологічний,хімічнийбіологічний,хімічний,вашингтонбіологічний,вашингтон
біологія,хіміябіологія,хімія,супбіологія,суп
близький,відчиненоблизький,відчинено,ковдраблизький,ковдра
божевільний,параноїдальнийбожевільний,параноїдальний,шарбожевільний,шар
божественний,богбожественний,бог,газбожественний,газ
борода,волоссяборода,волосся,зосереджуватиборода,зосереджувати
